ano_lancamento,mes_seno,mes_cos,duracao,orcamento,media_elenco,media_direcao,mediana_elenco,mediana_direcao,Drama,Mystery,Action,Family,Documentary,Crime,Romance,War,Comedy,Fantasy,Adventure,Thriller,Science Fiction,Western,History,Horror,Animation,Music,TV Movie,categoria_lucro
2019,-0.5000000000000004,0.8660254037844384,130,40000000.0,7.330410052910054,7.65,7.6,7.65,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Lucro alto
2018,-0.5000000000000004,0.8660254037844384,134,55000000.0,7.538981481481481,7.25,7.9,7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Lucro alto
2014,1.2246467991473532e-16,-1.0,113,178000000.0,7.556835317460318,6.5,7.9,6.5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Lucro alto
2017,-0.8660254037844386,0.5000000000000001,130,180000000.0,7.215219610636278,7.45,7.2700000000000005,7.45,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Lucro alto
2021,1.0,6.123233995736766e-17,242,70000000.0,6.899623015873017,6.614285714285714,6.767857142857143,6.614285714285714,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Lucro médio
2019,-2.4492935982947064e-16,1.0,108,14000000.0,7.305555555555555,7.45,7.9,7.45,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Lucro médio
2012,-0.5000000000000004,0.8660254037844384,103,13000000.0,6.700555555555556,7.3,6.683333333333334,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2014,0.49999999999999994,-0.8660254037844387,132,200000000.0,6.973901515151516,7.25,7.111363636363636,7.25,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2017,-0.5000000000000004,0.8660254037844384,113,20000000.0,7.4921296296296305,7.3,7.9,7.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2013,0.8660254037844386,0.5000000000000001,117,5000000.0,7.273335368335369,7.333333333333333,7.716666666666667,7.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucro médio
2019,-0.5000000000000004,0.8660254037844384,137,18000000.0,7.066212121212121,6.375,6.970909090909091,6.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prejuízo
2012,0.49999999999999994,0.8660254037844387,127,120000000.0,7.820370370370371,6.6000000000000005,7.9,6.6000000000000005,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lucro alto
2014,-1.0,-1.8369701987210297e-16,165,4000000.0,7.525396825396827,7.2,7.9,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2016,1.0,6.123233995736766e-17,106,4000000.0,7.525648148148148,7.65,7.9,7.65,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Lucro médio
2014,1.0,6.123233995736766e-17,150,4500000.0,7.702941176470589,7.1,7.9,7.1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro baixo
2018,-2.4492935982947064e-16,1.0,121,102460000.0,7.747222222222224,7.550000000000001,7.9,7.550000000000001,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2019,-0.8660254037844386,0.5000000000000001,113,76400000.0,7.900000000000001,6.166666666666667,7.9,6.166666666666667,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2019,-2.4492935982947064e-16,1.0,113,117740000.0,7.73925925925926,6.166666666666667,7.9,6.166666666666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lucro alto
2011,-2.4492935982947064e-16,1.0,100,16000000.0,7.3886111111111115,7.9,7.8500000000000005,7.9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Lucro médio
2022,-0.8660254037844384,-0.5000000000000004,165,26523270.6,7.750000000000002,7.9,7.9,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prejuízo
2010,0.8660254037844386,0.5000000000000001,165,12000000.0,7.800000000000001,7.9,7.9,7.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2012,-0.8660254037844386,0.5000000000000001,127,9700000.0,7.700000000000001,7.9,7.9,7.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2017,-0.8660254037844384,-0.5000000000000004,137,12820005.0,7.640740740740741,7.9,7.9,7.9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Lucro médio
2023,1.0,6.123233995736766e-17,169,100000000.0,7.068070162408398,7.533333333333334,7.07375,7.533333333333334,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro alto
2022,1.0,6.123233995736766e-17,176,200000000.0,7.241574074074074,7.475,7.5,7.475,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro alto
2022,0.8660254037844387,-0.4999999999999998,139,25000000.0,7.29425925925926,7.35,7.8,7.35,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2019,0.49999999999999994,0.8660254037844387,113,22000000.0,7.234860361373519,7.054545454545454,7.1,7.054545454545454,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Lucro médio
2015,0.49999999999999994,0.8660254037844387,130,28000000.0,7.343705106621774,7.05,7.605555555555556,7.05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Lucro médio
2017,0.49999999999999994,-0.8660254037844387,104,5000000.0,7.268225308641977,7.133333333333333,7.275,7.133333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Lucro alto
2016,-2.4492935982947064e-16,1.0,133,200000000.0,7.451923076923077,6.575,7.8,6.575,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Lucro alto
2011,-0.8660254037844386,0.5000000000000001,100,15000000.0,7.20020061728395,6.949999999999999,7.355555555555556,6.949999999999999,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Lucro médio
2019,0.49999999999999994,0.8660254037844387,135,42000000.0,7.39457190957191,7.542857142857143,7.6125,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Lucro alto
2019,0.49999999999999994,0.8660254037844387,135,15000000.0,7.39457190957191,7.542857142857143,7.6125,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Lucro médio
2019,-2.4492935982947064e-16,1.0,135,42000000.0,7.52844276094276,7.542857142857143,7.8,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2019,-2.4492935982947064e-16,1.0,135,15000000.0,7.52844276094276,7.542857142857143,7.8,7.542857142857143,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Lucro médio
2013,-0.8660254037844386,0.5000000000000001,123,12000000.0,7.326097883597884,7.8,7.616666666666667,7.8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Lucro médio
2019,-0.5000000000000004,0.8660254037844384,209,159000000.0,7.365049019607843,7.779999999999999,7.8,7.779999999999999,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Prejuízo
2022,-2.4492935982947064e-16,1.0,102,90000000.0,7.159907407407407,7.35,7.25,7.35,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,Lucro alto
2022,-0.8660254037844386,0.5000000000000001,148,20000000.0,7.733796296296297,7.8,7.8,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Lucro alto
2022,1.2246467991473532e-16,-1.0,148,1448864.0,7.716666666666667,7.8,7.8,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Lucro baixo
2022,-0.5000000000000004,0.8660254037844384,148,115700000.0,7.6819444444444445,7.8,7.8,7.8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Lucro alto
2012,-2.4492935982947064e-16,1.0,169,200000000.0,7.431296296296296,7.666666666666667,7.733333333333333,7.666666666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Lucro alto
2017,-0.4999999999999997,-0.8660254037844388,106,150000000.0,6.971891534391534,8.266666666666667,6.95952380952381,8.266666666666667,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2022,1.0,6.123233995736766e-17,187,69000000.0,7.6000000000000005,7.8,7.8,7.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucro alto
2015,0.49999999999999994,0.8660254037844387,168,62000000.0,7.251098484848484,8.15,7.8,8.15,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Lucro médio
